Event Receive Time,Event ID,Event Type,Event Name,Incident Reporting Device,Incident Source,Source IP,Source TCP/UDP Port,Incident Target,Destination IP,Destination TCP/UDP Port,Event Severity Category,Event Severity,Count
2020-07-13 16:40:32,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.174.64.120,",10.174.64.120,,"destIpAddr:120.126.142.185, destIpPort:23,",120.126.142.185,,HIGH,9,1
2020-07-13 16:40:32,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.184.30.121,",10.184.30.121,,"destIpAddr:120.126.143.124, destIpPort:23,",120.126.143.124,,HIGH,9,1
2020-07-13 16:40:32,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.189.171.66,",10.189.171.66,,"destIpAddr:120.126.143.124, destIpPort:23,",120.126.143.124,,HIGH,9,1
2020-07-13 16:40:32,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.12.83.60,",10.12.83.60,,"destIpAddr:120.126.176.26, destIpPort:23,",120.126.176.26,,HIGH,9,1
2020-07-13 16:40:32,,PH_RULE_SUSPICIOUS_DB_LOGON,Suspicious Database Logon,paloalto,"srcIpAddr:82.159.200.114,",82.159.200.114,,"destIpAddr:120.126.139.90,",120.126.139.90,,MEDIUM,7,6
2020-07-13 16:42:40,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:192.168.120.53,",192.168.120.53,,"destIpAddr:120.126.129.119, destIpPort:23,",120.126.129.119,,HIGH,9,1
2020-07-13 16:42:40,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:192.168.121.44,",192.168.121.44,,,,,MEDIUM,7,22
2020-07-13 16:42:40,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:192.168.111.69,",192.168.111.69,,,,,MEDIUM,7,251
2020-07-13 16:42:40,,PH_RULE_HEAVY_TCP_HOST_SCAN_FIXED_PORT,Heavy TCP Host Scan On Fixed Port,paloalto,"srcIpAddr:10.201.16.39,",10.201.16.39,,"destIpPort:443,",,,MEDIUM,8,3
2020-07-13 16:42:40,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.184.120.196,",10.184.120.196,,"destIpAddr:120.126.145.124, destIpPort:23,",120.126.145.124,,HIGH,9,2
2020-07-13 16:42:40,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:172.16.45.87,",172.16.45.87,,"destIpAddr:120.126.137.82, destIpPort:23,",120.126.137.82,,HIGH,9,1
2020-07-13 16:42:40,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:192.168.1.108,",192.168.1.108,,"destIpAddr:120.126.201.113, destIpPort:23,",120.126.201.113,,HIGH,9,1
2020-07-13 16:42:40,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:192.168.1.21,",192.168.1.21,,"destIpAddr:120.126.179.182, destIpPort:23,",120.126.179.182,,HIGH,9,1
2020-07-13 16:42:40,,PH_RULE_EXCESS_FAILED_LOGON_2_NET_DEV,Multiple Logon Failures: Net Dev,paloalto,"srcIpAddr:68.58.236.101,",68.58.236.101,,"destName:paloalto, destIpAddr:10.204.1.13, user:,",10.204.1.13,,MEDIUM,8,1
2020-07-13 16:42:40,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:172.16.45.135,",172.16.45.135,,"destIpAddr:120.126.181.48, destIpPort:23,",120.126.181.48,,HIGH,9,1
2020-07-13 16:42:40,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.136.151.5,",10.136.151.5,,"destIpAddr:120.126.172.41, destIpPort:23,",120.126.172.41,,HIGH,9,1
2020-07-13 16:42:40,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:85.105.179.90,",85.105.179.90,,,,,MEDIUM,7,1
2020-07-13 16:42:40,,PH_RULE_HEAVY_TCP_PORT_SCAN,Heavy TCP Port Scan: Single Destination,paloalto,"srcIpAddr:10.201.3.99,",10.201.3.99,,"destIpAddr:45.112.47.56,",45.112.47.56,,MEDIUM,7,3
2020-07-13 16:44:48,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.10.101.32,",10.10.101.32,,"destIpAddr:120.126.162.245, destIpPort:23,",120.126.162.245,,HIGH,9,1
2020-07-13 16:44:48,,PH_RULE_EXCESS_DENY_EXT_COUNTRY,Excessive Denied Connections From An External Country,"HOST-10.204.1.13,HOST-120.126.192.41,Sonicwall,paloalto","srcGeoCountry:Romania,",,,,,,MEDIUM,7,418
